Question,Answer
How do I edit a page?,"Editing most Wikipedia pages is easy, simply click the ""Edit"" tab at the top of a Wikipedia page (or on a section-edit link). This will take you to a new page with a text box containing the editable text of the page you were viewing. In this box, you can type in the text that you want to add using wiki markup to format text and add other elements like images and tables. If you don't want to learn the wiki markup syntax, you can enable the VisualEditor (but you must be registered), which allows you to edit pages in a user-friendly way. When you have finished editing, you should write a short edit summary in the small field below the edit-box describing your changes."
How do I create a new page?,"    You are required to have a Wikipedia account to create a new article—you can register here.
    For creating a new article, see Help:Your first article and Wikipedia:Article development; and you may wish to try the Article wizard. For creating a new page in your userspace, see How do I create a user subpage?; or use the Article wizard, which has an option for that. Make sure that it is backed up by reliable sources and it is notable."
Why was my article deleted?,"If you look at the address where your page was, it should have a red box above it that shows the user who deleted it (in the form ""Username ( talk | contribs)"") and their reason (which appears in italics). If the reason is not helpful, or you disagree with it, you can click on the ""talk"" link to send them a message and ask."
How do I change the name of an article?,"    You can move the article using the ""move"" button (you can see it by clicking the downward-pointing arrow to the right of the ""edit"" button). In order to do this, you must have an account that has reached autoconfirmed status, meaning it must be at least four days old and have made at least ten edits. If you are not an autoconfirmed user, the move is controversial, or the page you wish to rename is move-protected, visit Wikipedia:Requested moves. You may also request to have an admin grant you confirmed status if you are a legitimate alternative account of an autoconfirmed user.
"
How do I change my username/delete my account?,"To change your username, see Wikipedia:Changing username.  An account cannot be deleted. If an account was deleted, the edits made by the user could not be properly attributed. You can, however, courtesy vanish, and request that your userpage be deleted by adding the code {{db-user}} to the top of the page."
How do I cite Wikipedia?,See Wikipedia:Citing Wikipedia for details.
Who writes the articles on Wikipedia?,"    If your purpose is to cite Wikipedia, see the question above.
    Almost all articles on Wikipedia are written by multiple editors, not just one. If you click on the ""View history"" tab at the top of an article, a list will be displayed of all the contributors to the article and when their contribution(s) was made. A more comprehensive history can be accessed in the ""Page statistics"" which can be found in the External tools of the ""View history"" tab. See Who writes Wikipedia for further details."
"Can I rely on Wikipedia for advice on medical, legal, financial, safety, and other critical issues?","In a word, no. If you need specific advice (for example, medical, legal, financial or risk management), please seek a professional who is licensed or knowledgeable in that area. Wikipedia cannot guarantee the validity of the information found here. The content of any given article may recently have been changed, vandalized or altered by someone whose opinion does not correspond with the state of knowledge in the relevant fields. See Wikipedia:General disclaimer for more cautionary information."
What is Wikipedia?,"Wikipedia is an online free-content encyclopedia that you can edit and contribute to. Wikipedia co-founder Jimmy Wales has described Wikipedia as ""an effort to create and distribute a free encyclopedia of the highest possible quality to every single person on the planet in their own language."" Wikipedia exists to bring knowledge to everyone who seeks it."
Who owns Wikipedia?,"    Wikipedia's tech framework is supported by the Wikimedia Foundation, which also supports Wikipedia's sister projects, including Wiktionary, Wikibooks, and others, and owns all of their domain names. Previously, the site was hosted on the servers of Bomis, a company mostly owned by Jimmy Wales. With the announcement of the Wikimedia Foundation on June 20, 2003, the ownership of all domain names was transferred to the Foundation. The site is run by the community of Wikipedians guided by the five pillars.

    The articles hosted on this site have been edited by many people, each of whom has (by editing the article) agreed to release their contributions under the Creative Commons Attribution-ShareAlike license. As such, the articles are free content and may be reproduced freely under this license. See Wikipedia:Copyrights and Wikipedia:Readers' FAQ for information on how you can use Wikipedia content.

    By law, contributions are still owned by the people who donated them. These people are not bound by the license and can use their property in the way they like. However, media with multiple authors require permission from every contributor to use them differently from the terms of the Wikipedia license."
